,0
omitted>,7
<Media,7
😊,5
😁,4
month,4
🙈,4
Thank,3
youtube,3
hai.,3
pathology,3
https,3
One,3
Hahah.,3
channel,2
and,2
one,2
really,2
❤️❤️,2
vedio,2
rhkte,2
I,2
ka,2
u,2
was,2
a,2
arjun,2
anywaz.,2
paint,2
planning,2
phr.,2
you,2
hai,2
decide,2
Tho,2
Last,2
Thanks,2
montj,1
hua,1
it,1
🙈🙈,1
in,1
motion.,1
U,1
guys,1
msg,1
increase,1
ka.,1
punishment,1
task,1
or,1
next,1
tha,1
karne,1
Soo,1
Hi,1
true.,1
But,1
month.,1
this,1
for,1
Painting,1
attendees,1
of,1
list,1
Final,1
🥳,1
congratulations,1
Wow...,1
😁🥳😊,1
gaurav,1
birthday,1
Happy,1
to,1
🥳🥳,1
Congratulations,1
karege,1
brng,1
🥰,1
able,1
sakte,1
yes.,1
Yes,1
🙂,1
se.,1
iss,1
karte,1
Koshish,1
Haha.,1
Bada,1
Looks,1
🥰😁,1
Hi.,1
welcome.,1
most,1
😜😁,1
Anytime,1
🙈😊,1
Yep,1
sec,1
yummm,1
be,1
banana,1
shud,1
strtinf,1
Next,1
aaya,1
tak,1
way,1
Half,1
tha.,1
Maine,1
😁😁,1
Ya.,1
😋,1
yumm,1
Looking,1
everyone,1
Awesome,1
evryone,1
Congrts,1
👍🏻,1
